day,group,price
2024-12-25,high,97.48
2024-06-16,high,97.72
2024-06-22,high,97.92
2024-12-23,high,97.99
2025-03-19,high,97.99
2025-06-01,high,98.65
2025-04-10,high,98.74
2025-06-04,high,98.74
2025-05-04,high,99.0
2024-06-24,high,99.29
2024-06-30,high,100.07
2024-10-27,high,100.91
2024-06-29,high,100.98
2024-12-20,high,101.94
2024-12-26,high,101.94
2024-12-27,high,101.94
2024-12-29,high,101.94
2025-04-12,high,102.99
2025-04-19,high,102.99
2025-05-01,high,102.99
2025-05-21,high,102.99
2025-06-02,high,102.99
2025-06-07,high,102.99
2024-06-28,high,103.24
2024-12-24,high,104.0
2025-05-02,high,104.64
2025-04-11,high,105.64
2025-04-13,high,105.64
2025-04-17,high,105.64
2025-04-18,high,105.64
2025-04-20,high,105.64
2024-12-08,high,105.99
2024-06-17,high,106.67
2025-06-03,high,107.22
2024-12-28,high,114.0
2024-06-20,high,117.06
2025-04-16,high,117.99
2025-05-27,high,117.99
2025-06-06,high,117.99
2025-06-08,high,117.99
2024-12-21,high,118.0
2024-06-15,high,125.69
2025-04-21,high,134.99
2025-05-23,high,134.99
2025-05-31,high,134.99
2025-05-28,high,154.99
2025-05-29,high,177.99
2024-06-14,high,178.74
2025-05-30,high,202.99
