day,group,price
2025-08-18,high,84.99
2025-04-25,high,85.0
2024-09-26,high,88.99
2025-07-04,high,90.79
2025-08-16,high,90.79
2025-03-20,high,93.41
2024-09-06,high,93.48
2025-04-18,high,94.14
2024-12-20,high,94.51
2025-01-31,high,96.99
2025-04-17,high,96.99
2025-05-31,high,96.99
2025-06-28,high,96.99
2025-08-17,high,96.99
2024-12-22,high,101.39
2024-12-21,high,105.15
2025-01-30,high,105.96
2025-08-02,high,111.99
2025-03-18,high,122.06
2025-02-13,high,127.99
2025-02-17,high,127.99
2025-03-16,high,139.99
2025-07-09,high,149.99
2025-02-16,high,154.99
2025-07-07,high,169.99
2024-12-25,high,177.0
2024-09-05,high,327.0
